Sponsors,State,Number,Count
Christopher Judy,Indiana,['HB1220'],1
Christopher Murphy,South Carolina,['H3197'],1
Christopher Smith,US,"[""HB734'"", ""'HB5""]",2
Christopher Wooten,South Carolina,"[""H3551'"", ""'H3551""]",2
Chuck Edwards,US,['HB5'],1
Chuck Horst,West Virginia,['HB2007'],1
Chuck Payne,Georgia,"[""SB140'"", ""'SB88""]",2
Cindy Crawford,Arkansas,"[""HB1156'"", ""'SB270'"", ""'SB294'"", ""'SB43'"", ""'HB1468'"", ""'HB1615""]",6
Cindy Golding,Iowa,['HF2'],1
Cindy Hyde-Smith,US,"[""SB200'"", ""'SR53""]",2
Cindy O'Laughlin,Missouri,['SB49'],1
Claire Cory,North Dakota,"[""HB1249'"", ""'SB2231""]",2
Clarence Styvar,Wyoming,"[""SF0111'"", ""'SF0133""]",2
Clark Boyd,Tennessee,"[""HB0001'"", ""'HB0571""]",2
Clark Stith,Wyoming,['HB0187'],1
Claudia Tenney,US,"[""HB734'"", ""'HR115'"", ""'HB5""]",3
Clay Doggett,Tennessee,"[""HB0001'"", ""'HB0030""]",2
Clay Higgins,US,"[""HB734'"", ""'HB1399'"", ""'HB5""]",3
Clay Yarborough,Florida,"[""S0254'"", ""'S1320""]",2
Clint Dixon,Georgia,"[""SB140'"", ""'SB141'"", ""'SB88""]",3
Clint Penzo,Arkansas,"[""SB294'"", ""'SB43""]",2
Clinton Owlett,Pennsylvania,['HB138'],1
Cody Harris,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164""]",4
Cody Maynard,Oklahoma,['HB2177'],1
Cody Rogers,Oklahoma,"[""SB408'"", ""'SB613'"", ""'SB131'"", ""'SB30""]",4
Cody Vasut,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164""]",4
Cole Christensen,North Dakota,"[""HB1474'"", ""'HB1522""]",2
Cole Conley,North Dakota,['HB1139'],1
Cole Hefner,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164'"", ""'HB672""]",5
Colin Jack,Utah,['HB0329'],1
Collin Duel,Oklahoma,['HB2736'],1
Colton Moore,Georgia,"[""SB140'"", ""'SB141'"", ""'SB88""]",3
Cory McGarr,Arizona,"[""SB1694'"", ""'SB1700'"", ""'HB2312'"", ""'SB1698'"", ""'SB1702""]",5
Craig Goldman,Texas,"[""HB1686'"", ""'HB23""]",2
Craig Johnson,Iowa,['HF2'],1
Craig Staats,Pennsylvania,['HB138'],1
Curtis Bramble,Utah,['HB0228'],1
Curtis Trent,Missouri,"[""SB39'"", ""'SB49""]",2
