,State,Abbreviation,Number,URL
215,Oklahoma,OK,SB252,https://legiscan.com/OK/bill/SB252/2023
216,Oklahoma,OK,SB30,https://legiscan.com/OK/bill/SB30/2023
217,Oklahoma,OK,SB345,https://legiscan.com/OK/bill/SB345/2023
218,Oklahoma,OK,SB408,https://legiscan.com/OK/bill/SB408/2023
219,Oklahoma,OK,SB613,https://legiscan.com/OK/bill/SB613/2023
220,Oklahoma,OK,SB614,https://legiscan.com/OK/bill/SB614/2023
221,Oklahoma,OK,SB786,https://legiscan.com/OK/bill/SB786/2023
222,Oklahoma,OK,SB787,https://legiscan.com/OK/bill/SB787/2023
223,Oklahoma,OK,SB788,https://legiscan.com/OK/bill/SB788/2023
224,Oklahoma,OK,SB789,https://legiscan.com/OK/bill/SB789/2023
225,Oklahoma,OK,SB866,https://legiscan.com/OK/bill/SB866/2023
226,Oklahoma,OK,SB878,https://legiscan.com/OK/bill/SB878/2023
227,Oklahoma,OK,SB887,https://legiscan.com/OK/bill/SB887/2023
228,Oklahoma,OK,SB932,https://legiscan.com/OK/bill/SB932/2023
229,Oklahoma,OK,SB937,https://legiscan.com/OK/bill/SB937/2023
230,Oklahoma,OK,SB973,https://legiscan.com/OK/bill/SB973/2023
231,Oklahoma,OK,,
232,Oklahoma,OK,HB1449,https://legiscan.com/OK/bill/HB1449/2023
233,Oregon,OR,HB2044,https://legiscan.com/OR/bill/HB2044/2023
234,Oregon,OR,HB2186,https://legiscan.com/OR/bill/HB2186/2023
235,Oregon,OR,HB2477,https://legiscan.com/OR/bill/HB2477/2023
236,Oregon,OR,HB3137,https://legiscan.com/OR/bill/HB3137/2023
237,Oregon,OR,SB452,https://legiscan.com/OR/bill/SB452/2023
238,Oregon,OR,SB453,https://legiscan.com/OR/bill/SB453/2023
239,Oregon,OR,SB749,https://legiscan.com/OR/bill/SB749/2023
240,Oregon,OR,SB897,https://legiscan.com/OR/bill/SB897/2023
241,Rhode Island,RI,S0391,https://legiscan.com/RI/bill/S0391/2023
