,State,Abbreviation,Number,URL,Bill ID,Doc ID,Bill Text
219,Oklahoma,OK,SB613,https://legiscan.com/OK/bill/SB613/2023,1664606,,
220,Oklahoma,OK,SB614,https://legiscan.com/OK/bill/SB614/2023,1664703,,
221,Oklahoma,OK,SB786,https://legiscan.com/OK/bill/SB786/2023,1667753,,
222,Oklahoma,OK,SB787,https://legiscan.com/OK/bill/SB787/2023,1667775,,
223,Oklahoma,OK,SB788,https://legiscan.com/OK/bill/SB788/2023,1667591,,
224,Oklahoma,OK,SB789,https://legiscan.com/OK/bill/SB789/2023,1667553,,
225,Oklahoma,OK,SB866,https://legiscan.com/OK/bill/SB866/2023,1668562,,
226,Oklahoma,OK,SB878,https://legiscan.com/OK/bill/SB878/2023,1668356,,
227,Oklahoma,OK,SB887,https://legiscan.com/OK/bill/SB887/2023,1668512,,
228,Oklahoma,OK,SB932,https://legiscan.com/OK/bill/SB932/2023,1668212,,
229,Oklahoma,OK,SB937,https://legiscan.com/OK/bill/SB937/2023,1669660,,
230,Oklahoma,OK,SB973,https://legiscan.com/OK/bill/SB973/2023,1669174,,
231,Oklahoma,OK,HB1449,https://legiscan.com/OK/bill/HB1449/2023,1665893,,
232,Oregon,OR,HB2044,https://legiscan.com/OR/bill/HB2044/2023,1648187,,
233,Oregon,OR,HB2186,https://legiscan.com/OR/bill/HB2186/2023,1646803,,
234,Oregon,OR,HB2477,https://legiscan.com/OR/bill/HB2477/2023,1646714,,
235,Oregon,OR,HB3137,https://legiscan.com/OR/bill/HB3137/2023,1676571,,
236,Oregon,OR,SB452,https://legiscan.com/OR/bill/SB452/2023,1647733,,
237,Oregon,OR,SB453,https://legiscan.com/OR/bill/SB453/2023,1647416,,
238,Oregon,OR,SB749,https://legiscan.com/OR/bill/SB749/2023,1660360,,
239,Oregon,OR,SB897,https://legiscan.com/OR/bill/SB897/2023,1704562,,
240,Rhode Island,RI,S0391,https://legiscan.com/RI/bill/S0391/2023,1713128,,
241,South Carolina,SC,H3197,https://legiscan.com/SC/bill/H3197/2023,1637534,,
242,South Carolina,SC,H3485,https://legiscan.com/SC/bill/H3485/2023,1637470,,
243,South Carolina,SC,H3551,https://legiscan.com/SC/bill/H3551/2023,1638795,,
244,South Carolina,SC,H3551,https://legiscan.com/SC/bill/H3551/2023,1638795,,
245,South Carolina,SC,H3564,https://legiscan.com/SC/bill/H3564/2023,1638885,,
246,South Carolina,SC,H3565,https://legiscan.com/SC/bill/H3565/2023,1638936,,
247,South Carolina,SC,H3611,https://legiscan.com/SC/bill/H3611/2023,1654472,,
248,South Carolina,SC,H3616,https://legiscan.com/SC/bill/H3616/2023,1654119,,
249,South Carolina,SC,H3730,https://legiscan.com/SC/bill/H3730/2023,1665859,,
250,South Carolina,SC,H3827,https://legiscan.com/SC/bill/H3827/2023,1682099,,
251,South Carolina,SC,S0234,https://legiscan.com/SC/bill/S0234/2023,1635629,,
252,South Carolina,SC,S0243,https://legiscan.com/SC/bill/S0243/2023,1635919,,
253,South Carolina,SC,S0274,https://legiscan.com/SC/bill/S0274/2023,1637125,,
254,South Carolina,SC,S0276,https://legiscan.com/SC/bill/S0276/2023,1637159,,
255,South Carolina,SC,S0332,https://legiscan.com/SC/bill/S0332/2023,1650765,,
256,South Carolina,SC,S0364,https://legiscan.com/SC/bill/S0364/2023,1650877,,
257,South Carolina,SC,S0424,https://legiscan.com/SC/bill/S0424/2023,1668734,,
