,State,Abbreviation,Number,URL,Bill ID,Doc ID,Bill Text
204,Oklahoma,OK,HB2186,https://legiscan.com/OK/bill/HB2186/2023,1669355,2651237.0,
205,Oklahoma,OK,HB2340,https://legiscan.com/OK/bill/HB2340/2023,1670840,2652648.0,
206,Oklahoma,OK,HB2546,https://legiscan.com/OK/bill/HB2546/2023,1670293,2652147.0,
207,Oklahoma,OK,HB2736,https://legiscan.com/OK/bill/HB2736/2023,1671157,2653134.0,
208,Oklahoma,OK,SB1004,https://legiscan.com/OK/bill/SB1004/2023,1669667,2651542.0,
209,Oklahoma,OK,SB1007,https://legiscan.com/OK/bill/SB1007/2023,1668811,2650656.0,
210,Oklahoma,OK,SB1017,https://legiscan.com/OK/bill/SB1017/2023,1670149,2652023.0,
211,Oklahoma,OK,SB129,https://legiscan.com/OK/bill/SB129/2023,1643087,2623314.0,
212,Oklahoma,OK,SB131,https://legiscan.com/OK/bill/SB131/2023,1642970,2623206.0,
213,Oklahoma,OK,SB250,https://legiscan.com/OK/bill/SB250/2023,1650616,2630576.0,
214,Oklahoma,OK,SB251,https://legiscan.com/OK/bill/SB251/2023,1651148,2630940.0,
215,Oklahoma,OK,SB252,https://legiscan.com/OK/bill/SB252/2023,1650695,2630625.0,
216,Oklahoma,OK,SB30,https://legiscan.com/OK/bill/SB30/2023,1638456,2618246.0,
217,Oklahoma,OK,SB345,https://legiscan.com/OK/bill/SB345/2023,1659340,2641047.0,
218,Oklahoma,OK,SB408,https://legiscan.com/OK/bill/SB408/2023,1659858,2641747.0,
219,Oklahoma,OK,SB613,https://legiscan.com/OK/bill/SB613/2023,1664606,2646388.0,
220,Oklahoma,OK,SB614,https://legiscan.com/OK/bill/SB614/2023,1664703,2646473.0,
221,Oklahoma,OK,SB786,https://legiscan.com/OK/bill/SB786/2023,1667753,2649454.0,
222,Oklahoma,OK,SB787,https://legiscan.com/OK/bill/SB787/2023,1667775,2649474.0,
223,Oklahoma,OK,SB788,https://legiscan.com/OK/bill/SB788/2023,1667591,2649307.0,
224,Oklahoma,OK,SB789,https://legiscan.com/OK/bill/SB789/2023,1667553,2649279.0,
225,Oklahoma,OK,SB866,https://legiscan.com/OK/bill/SB866/2023,1668562,2650351.0,
226,Oklahoma,OK,SB878,https://legiscan.com/OK/bill/SB878/2023,1668356,2650157.0,
227,Oklahoma,OK,SB887,https://legiscan.com/OK/bill/SB887/2023,1668512,2650306.0,
228,Oklahoma,OK,SB932,https://legiscan.com/OK/bill/SB932/2023,1668212,2650017.0,
229,Oklahoma,OK,SB937,https://legiscan.com/OK/bill/SB937/2023,1669660,2651535.0,
230,Oklahoma,OK,SB973,https://legiscan.com/OK/bill/SB973/2023,1669174,2651062.0,
231,Oklahoma,OK,HB1449,https://legiscan.com/OK/bill/HB1449/2023,1665893,2647723.0,
232,Oregon,OR,HB2044,https://legiscan.com/OR/bill/HB2044/2023,1648187,2628231.0,
233,Oregon,OR,HB2186,https://legiscan.com/OR/bill/HB2186/2023,1646803,2626850.0,
234,Oregon,OR,HB2477,https://legiscan.com/OR/bill/HB2477/2023,1646714,2626759.0,
235,Oregon,OR,HB3137,https://legiscan.com/OR/bill/HB3137/2023,1676571,2659307.0,
236,Oregon,OR,SB452,https://legiscan.com/OR/bill/SB452/2023,1647733,2627777.0,
237,Oregon,OR,SB453,https://legiscan.com/OR/bill/SB453/2023,1647416,2627461.0,
238,Oregon,OR,SB749,https://legiscan.com/OR/bill/SB749/2023,1660360,2642151.0,
239,Oregon,OR,SB897,https://legiscan.com/OR/bill/SB897/2023,1704562,2694711.0,
240,Rhode Island,RI,S0391,https://legiscan.com/RI/bill/S0391/2023,1713128,2706362.0,
241,South Carolina,SC,H3197,https://legiscan.com/SC/bill/H3197/2023,1637534,2617092.0,
242,South Carolina,SC,H3485,https://legiscan.com/SC/bill/H3485/2023,1637470,2617032.0,
243,South Carolina,SC,H3551,https://legiscan.com/SC/bill/H3551/2023,1638795,2618697.0,
244,South Carolina,SC,H3551,https://legiscan.com/SC/bill/H3551/2023,1638795,2618697.0,
245,South Carolina,SC,H3564,https://legiscan.com/SC/bill/H3564/2023,1638885,2618751.0,
246,South Carolina,SC,H3565,https://legiscan.com/SC/bill/H3565/2023,1638936,2618784.0,
247,South Carolina,SC,H3611,https://legiscan.com/SC/bill/H3611/2023,1654472,2634712.0,
248,South Carolina,SC,H3616,https://legiscan.com/SC/bill/H3616/2023,1654119,2634402.0,
249,South Carolina,SC,H3730,https://legiscan.com/SC/bill/H3730/2023,1665859,2647692.0,
250,South Carolina,SC,H3827,https://legiscan.com/SC/bill/H3827/2023,1682099,2665002.0,
251,South Carolina,SC,S0234,https://legiscan.com/SC/bill/S0234/2023,1635629,2615607.0,
252,South Carolina,SC,S0243,https://legiscan.com/SC/bill/S0243/2023,1635919,2615718.0,
253,South Carolina,SC,S0274,https://legiscan.com/SC/bill/S0274/2023,1637125,2616404.0,
254,South Carolina,SC,S0276,https://legiscan.com/SC/bill/S0276/2023,1637159,2616773.0,
255,South Carolina,SC,S0332,https://legiscan.com/SC/bill/S0332/2023,1650765,2630671.0,
256,South Carolina,SC,S0364,https://legiscan.com/SC/bill/S0364/2023,1650877,2630747.0,
257,South Carolina,SC,S0424,https://legiscan.com/SC/bill/S0424/2023,1668734,2650584.0,
258,South Carolina,SC,H3728,https://legiscan.com/SC/bill/H3728/2023,1665907,2647736.0,
259,South Dakota,SD,HB1080,https://legiscan.com/SD/bill/HB1080/2023,1660616,2680361.0,
260,South Dakota,SD,HB1116,https://legiscan.com/SD/bill/HB1116/2023,1677342,2680431.0,
261,South Dakota,SD,HB1125,https://legiscan.com/SD/bill/HB1125/2023,1677723,2680278.0,
262,South Dakota,SD,HB1208,https://legiscan.com/SD/bill/HB1208/2023,1689363,2680733.0,
263,South Dakota,SD,HCR6008,https://legiscan.com/SD/bill/HCR6008/2023,1672467,2680358.0,
264,Tennessee,TN,HB0001,https://legiscan.com/TN/bill/HB0001/2023,1631977,2612107.0,
265,Tennessee,TN,HB0009,https://legiscan.com/TN/bill/HB0009/2023,1637133,2616412.0,
266,Tennessee,TN,HB0239,https://legiscan.com/TN/bill/HB0239/2023,1661869,2643702.0,
267,Tennessee,TN,HB0306,https://legiscan.com/TN/bill/HB0306/2023,1669292,2651177.0,
268,Tennessee,TN,HB0571,https://legiscan.com/TN/bill/HB0571/2023,1681124,2663974.0,
269,Tennessee,TN,HB0878,https://legiscan.com/TN/bill/HB0878/2023,1686636,2670622.0,
270,Tennessee,TN,HB1215,https://legiscan.com/TN/bill/HB1215/2023,1688331,2672679.0,
271,Tennessee,TN,HB1269,https://legiscan.com/TN/bill/HB1269/2023,1688211,2672556.0,
272,Tennessee,TN,HB1339,https://legiscan.com/TN/bill/HB1339/2023,1688082,2672432.0,
273,Tennessee,TN,HB1378,https://legiscan.com/TN/bill/HB1378/2023,1688001,2672341.0,
274,Tennessee,TN,HB1414,https://legiscan.com/TN/bill/HB1414/2023,1688214,2672559.0,
