,State,Abbreviation,Number,URL,Bill ID,Sponsors
93,Minnesota,MN,SF311,https://legiscan.com/MN/bill/SF311/2023,1659057,"['Glenn Gruenhagen', 'Steve Green', 'Eric Lucero']"
94,Minnesota,MN,SF933,https://legiscan.com/MN/bill/SF933/2023,1684998,"['Eric Lucero', 'Jeff Howe', 'Glenn Gruenhagen']"
95,Mississippi,MS,HB1074,https://legiscan.com/MS/bill/HB1074/2023,1668972,['Jill Ford']
96,Mississippi,MS,HB1099,https://legiscan.com/MS/bill/HB1099/2023,1669732,['Dana Criswell']
97,Mississippi,MS,HB1124,https://legiscan.com/MS/bill/HB1124/2023,1668884,['Jill Ford']
98,Mississippi,MS,HB1125,https://legiscan.com/MS/bill/HB1125/2023,1668851,"['Gene Newman', 'Philip Gunn', 'Dan Eubanks', 'Mark Tullos', 'Chris Brown', 'Brady Williamson', 'Steve Hopkins', 'William Arnold', 'Bill Kinkade', 'Jill Ford', 'Nick Bain', 'Randall Patterson']"
99,Mississippi,MS,HB1126,https://legiscan.com/MS/bill/HB1126/2023,1669143,['John Lamar']
100,Mississippi,MS,HB1127,https://legiscan.com/MS/bill/HB1127/2023,1668816,"['Becky Currie', 'William Arnold', 'Randy Boyd', 'Billy Calvert', 'Lester Carpenter', 'Sam Creekmore', 'Jerry Darnell', 'Kevin Ford', 'Jeff Hale', 'Jon Lancaster', 'Vince Mangold', 'Ken Morgan', 'Bill Pigott', 'Fred Shanks', 'Jerry Turner', 'Price Wallace', 'Brady Williamson']"
101,Mississippi,MS,HB1144,https://legiscan.com/MS/bill/HB1144/2023,1670368,['Stacey Hobgood-Wilkes']
102,Mississippi,MS,HB1258,https://legiscan.com/MS/bill/HB1258/2023,1672999,['Dan Eubanks']
103,Mississippi,MS,HB1476,https://legiscan.com/MS/bill/HB1476/2023,1682551,['Stacey Hobgood-Wilkes']
104,Mississippi,MS,HB1480,https://legiscan.com/MS/bill/HB1480/2023,1682988,['Fred Shanks']
105,Mississippi,MS,HB1489,https://legiscan.com/MS/bill/HB1489/2023,1682663,['Philip Gunn']
