Sponsors,State,Number
Denise Hader,Oklahoma,"['HB1449', 'HB2177']"
Denise Ricciardi,New Hampshire,['SB272']
Dennis Biteman,Wyoming,"['SF0159', 'SF0172', 'SF0133']"
Dennis DeBar,Mississippi,['SB2760']
Dennis Guth,Iowa,"['SF83', 'SF110']"
Dennis Linthicum,Oregon,['SB897']
Dennis Paul,Texas,"['HB1686', 'HB23']"
Dennis Powers,Tennessee,"['HB0001', 'HB0009', 'HB1269', 'HB0030']"
Denny Hoskins,Missouri,"['SB39', 'SB49', 'SB2', 'SB236']"
Derek Merrin,Ohio,"['HB68', 'HB6']"
Derek Wulf,Iowa,['HF2']
Derrick Van Orden,US,['HB5']
Devon Wood,Iowa,['HF2']
Dewayne Burns,Texas,"['HB1686', 'HB23']"
Diamond Garcia,Hawaii,"['HB508', 'HB509', 'HB891']"
Diana Harshbarger,US,"['HB734', 'HR115', 'HB1399', 'HB5']"
Diane Larson,North Dakota,['HB1249']
Dick Anderson,North Dakota,"['HB1254', 'HB1474']"
Dick Stein,Ohio,"['HB68', 'HB6']"
Dina Neal,Nevada,['SB302']
Donald Burkhart,Wyoming,['SF0159']
Donald McCabe,South Carolina,"['H3485', 'H3551', 'H3551']"
Donna Campbell,Texas,"['SB249', 'SB250', 'SB625', 'SCR3', 'SB14', 'SB15']"
Donna Henderson,North Dakota,"['HB1473', 'HCR3010']"
Donnie Loftis,North Carolina,['H43']
Doug Bankson,Florida,"['H1223', 'H1421']"
Doug Gilliam,South Carolina,"['H3197', 'H3485', 'H3551', 'H3551', 'H3564', 'H3565']"
Doug LaMalfa,US,"['HB734', 'HR115', 'HB5']"
Doug Lamborn,US,"['HB429', 'HB1399', 'HB5']"
Douglas Broxson,Florida,['S0254']
Douglas Dubitsky,Connecticut,['HB06213']
Doyle Heffley,Pennsylvania,['HB138']
Drew Darby,Texas,['HB23']
Drew Ferguson,US,['HB5']
Drew Springer,Texas,"['SB14', 'SB15']"
Dusty Johnson,US,['HB5']
Dwight Loftis,South Carolina,['S0234']
Dwight Tosh,Arkansas,"['HB1156', 'SB43']"
